title,publish_date,authors,url,keywords,summary,word_count,category,category_confidence,category_alt,category_alt_confidence,,category_clean
Chasing the Pixel-Perfect Dream,,[],https://joshwcomeau.com/css/pixel-perfection/,"['design', 'dont', 'small', 'tools', 'implementation', 'things', 'dream', 'chasing', 'pixels', 'feel', 'pixelperfect', 'css', 'heading']","Typesetting in the old world If you're interested in why the numbers in design tools can be imprecise, this aside is for you.
Modern design tools inherited the conventions of old-world typesetting, and so we've wound up with a discrepancy.
Instead of trusting the measurements you get from design tools, you should take your own measurements!
In practice, this doesn't solve some of the discrepancies between design tools and the web.
I like this because it's very clear what the intent is; we're making minute adjustments to make things feel well-aligned.",2595,/Computers & Electronics/Software/Multimedia Software,0.519999981,,,,Computers & Electronics
WWW Error Blocked Diagnostic,,[],https://www.ncbi.nlm.nih.gov/pmc/articles/PMC300789/,"['www', 'system', 'virus', 'error', 'wwwncbinlmnihgov', 'site', 'temporarily', 'work', 'better', 'website', 'blocked', 'access', 'understand', 'diagnostic']","Access DeniedYour access to the NCBI website at www.ncbi.nlm.nih.gov has been temporarily blocked due to a possible misuse/abuse situation involving your site.
This is not an indication of a security issue such as a virus or attack.
It could be something as simple as a run away script or learning how to better use E-utilities, http://www.ncbi.nlm.nih.gov/books/NBK25497/, for more efficient work such that your work does not impact the ability of other researchers to also use our site.
To restore access and understand how to better interact with our site to avoid this in the future, please have your system administrator contact info@ncbi.nlm.nih.gov.",120,/Health,0.730000019,,,,Health
The flying car is here – and it could change the world,11/11/20 0:00,['Adrienne Bernhard'],https://www.bbc.com/future/article/20201111-the-flying-car-is-here-vtols-jetpacks-and-air-taxis,"['public', 'need', 'require', 'change', 'vtols', 'systems', 'car', 'world', 'flying', 'vehicles', 'air', 'transport', 'commercial', 'urban']","Reimagining human flight requires vehicles that are “road legal” and safe to fly, but also a public willing to fly in them.
“You cannot offer commercial services without extremely vigorous testing regimes,” says Nestmann, who oversees Volocopter’s public education initiatives.
While the commercial aircraft we travel on today are monitored by human controllers in a tower, the flying machines of tomorrow will rely on UTM: Unmanned Traffic Management.
Fully automated vertical transport with a proven track record may put the public at ease, but a vast network of flying objects creates a host of new challenges.
VTOLs will obviate the need for runways or on-the-ground parking, but they will require dedicated air corridors and sky-harbours to store craft.",429,/Travel/Air Travel,0.829999983,/Business & Industrial,0.610000014,,Travel
"How to Design Programs, Second Edition",1/6/18 0:00,[],https://htdp.org/2018-01-06/,"['design', 'second', 'edition', 'programs', '2018this', 'version']","January 6, 2018This is the first version of the second edition.",12,/Jobs & Education/Education,0.75999999,/Arts & Entertainment/Visual Art & Design/Design,0.569999993,,Jobs & Education
No Silver Bullet,,[],https://en.wikipedia.org/wiki/No_Silver_Bullet,"['silver', 'designers', 'edit', 'brooks', 'complexity', 'essential', 'development', 'accidental', 'programming', 'software', 'bullet']","For the folkloric belief, see Silver bullet""No Silver Bullet – Essence and Accident in Software Engineering"" is a widely discussed paper on software engineering written by Turing Award winner Fred Brooks in 1987.
Summary [ edit ]Brooks distinguishes between two different types of complexity: accidental complexity and essential complexity.
Brooks claims that the accidental complexity has decreased substantially, and today's programmers spend most of their time addressing essential complexity.
While Brooks insists that there is no one silver bullet, he believes that a series of innovations attacking essential complexity could lead to significant improvements.
The article, and Brooks's later reflections on it, 'No Silver Bullet' Refired, can be found in the anniversary edition of The Mythical Man-Month.",506,/Science/Computer Science,0.50999999,,,,Science
The Unreasonable Effectiveness of Mathematics in the Natural Sciences,,[],http://www.dartmouth.edu/~matc/MathDrama/reading/Hamming.html,"['simple', 'natural', 'numbers', 'way', 'sciences', 'effectiveness', 'number', 'postulates', 'real', 'science', 'mathematics', 'world', 'unreasonable', 'system']","The inspiration for this article came from the similarly entitled article, ""The Unreasonable Effectiveness of Mathematics in the Natural Sciences""by E. P. Wigner.
In his paper, Wigner gives a large number of examples of the effectiveness of mathematics in the physical sciences.
And since I am able to do only comparatively simple mathematics, how can it be that simple mathematics suffices to predict so much?
I could go on citing more examples illustrating the unreasonable effectiveness of mathematics, but it would only be boring.
It is only fair to mention that there are some mathematicians who doubt the existence of the conventional real number system.",6433,/Science/Physics,0.939999998,/Science/Mathematics,0.920000017,,Science
,,[],https://shapeofdesignbook.com/download/tsod-1.01.pdf,[],,0,,,,,,
Interpretable Machine Learning,,['Christoph Molnar'],https://christophm.github.io/interpretable-ml-book/,"['models', 'interpretation', 'data', 'predictions', 'learning', 'methods', 'machine', 'book', 'making', 'interpretable', 'version']","But computers usually do not explain their predictions which is a barrier to the adoption of machine learning.
This book is about making machine learning models and their decisions interpretable.
The book focuses on machine learning models for tabular data (also called relational or structured data) and less on computer vision and natural language processing tasks.
Reading the book is recommended for machine learning practitioners, data scientists, statisticians, and anyone else interested in making machine learning models interpretable.
My goal is to make machine learning interpretable.",272,/Science/Computer Science,0.889999986,,,,Science
What-We-Learn-When-We-Learn-by-Doing,,[],https://www.rogerschank.com/What-We-Learn-When-We-Learn-by-Doing,"['learn', 'microscript', 'learned', 'learning', 'students', 'doing', 'knowledge', 'teach', 'whatwelearnwhenwelearnbydoing', 'microscripts', 'know']","As long as students learn to do what they were trying to do, they have learned the right stuff.
We must, as best as we can, teach students to do things, rather than having them be told about what others have done.
What should be done is to break down traditional academic lines and teach micro-scripts on an as needed basis.
One reason, I suspect, is that schools really like to teach micro-scripts when they can identify them.
However, it is critical that they be taught indirectly, embedded in scenarios that are otherwise intended to teach micro-scripts and cases.",17775,/Business & Industrial/Business Operations,0.629999995,/Jobs & Education/Education,0.610000014,,Business & Industrial
,,,https://www.nytimes.com/2020/06/15/us/politics/gorsuch-supreme-cou1rt-gay-transgender-rights.html,,,,,,,,,
Laws of UX,,['Jon Yablonski'],https://lawsofux.com/,"['way', 'users', 'prefer', 'laws', 'means', 'ux', '05users', 'site', 'work', 'sites', 'spend', 'know']","05Users spend most of their time on other sites.
This means that users prefer your site to work the same way as all the other sites they already know.",30,/Computers & Electronics/Software,0.720000029,,,,Computers & Electronics
All Maps Lie - 2020,,[],https://all-maps-lie-2020.netlify.app/#/,"['lie', '2020', 'maps']",,0,,,,,,
Steven Pinker: AI in the Age of Reason,2018-10-17 11:55:50+00:00,['Lex Fridman'],https://lexfridman.com/steven-pinker/,"['versions', 'steven', 'way', 'youtube', 'age', 'pinker', 'ai', 'video', 'world', 'watch', 'reason', 'twitter', 'better', 'professor', 'version']","Steven Pinker is a professor at Harvard and before that was a professor at MIT.
He is the author of many books, several of which have had a big impact on the way I see the world for the better.
In particular, The Better Angels of Our Nature and Enlightenment Now have instilled in me a sense of optimism grounded in data, science, and reason.
Video version is available on YouTube.
If you would like to get more information about this podcast go to https://lexfridman.com/ai or connect with @lexfridman on Twitter, LinkedIn, Facebook, or YouTube where you can watch the video versions of these conversations.",108,/Science/Computer Science,0.74000001,,,,Science
The Book of Shaders,,[],https://thebookofshaders.com/,"['design', 'shaders', 'teaches', 'york', 'data', 'book', 'translation', 'technology', 'work', 'vivo', 'yoneda', 'shes']","The Book of Shadersby Patricio Gonzalez Vivo and Jen LoweThis is a gentle step-by-step guide through the abstract and complex universe of Fragment Shaders.
ContentsAbout the AuthorsPatricio Gonzalez Vivo (1982, Buenos Aires, Argentina) is a New York based artist and developer.
He holds an MFA in Design & Technology from Parsons The New School, where he now teaches.
Jen Lowe is an independent data scientist and data communicator at Datatelling where she brings together people + numbers + words.
Her research, writing, and speaking explore the promises and implications of data and technology in society.",395,/Computers & Electronics/Software/Multimedia Software,0.519999981,,,,Computers & Electronics
What-We-Learn-When-We-Learn-by-Doing,,[],https://www.rogerschank.com/What-We-Learn-When-We-Learn-by-Doing,"['learn', 'microscript', 'learned', 'learning', 'students', 'doing', 'knowledge', 'teach', 'whatwelearnwhenwelearnbydoing', 'microscripts', 'know']","As long as students learn to do what they were trying to do, they have learned the right stuff.
We must, as best as we can, teach students to do things, rather than having them be told about what others have done.
What should be done is to break down traditional academic lines and teach micro-scripts on an as needed basis.
One reason, I suspect, is that schools really like to teach micro-scripts when they can identify them.
However, it is critical that they be taught indirectly, embedded in scenarios that are otherwise intended to teach micro-scripts and cases.",17775,/Business & Industrial/Business Operations,0.629999995,/Jobs & Education/Education,0.610000014,,Business & Industrial
advanced-creative-coding/Week01 at master · katsully/advanced-creative-coding · GitHub,,[],https://github.com/katsully/advanced-creative-coding/tree/master/Week01,"['x', 'bytes', 'data', 'variable', 'byte', 'github', 'katsullyadvancedcreativecoding', 'memory', 'computer', 'c', 'master', 'advancedcreativecodingweek01', 'stored', 'think']","Let's look at the following code:int x = 42; int y = x + 1; x = 5;What is y now equal to?
Let's look at another block of code:int x; x = x + 1;See the problem?
If you have ten integers in your array and each integer is four bytes, your array is forty bytes of memory.
The variable x is stored in the stack and is just a pointer which stores the memory address to the large block of memory stored on the heap.
So if you have a variable of data integer and a value of 5, 5 will be stored to memory.",3342,/Science/Computer Science,0.779999971,/Computers & Electronics/Programming,0.74000001,,Science
Earth Primer,,"['Kyle Vanhemert', 'John Brownlee', 'Kristie Lu Stout']",https://www.earthprimer.com/,"['earth', 'wind', 'primer', 'water', 'build', 'weather', 'youll', 'away', 'rain', 'waves', 'earths']","Journey to the center of the Earth.
Use the ocean waves, rain, and rivers to weather away rock in real time.
Make it rain and snow, pile up ice into dynamic glaciers, and make rainshadow deserts bloom.
As you progress through Earth Primer and learn about Earth's systems, you'll unlock new tools.
Use them in the Sandbox to play with landscapes of your creation.",124,/Science,0.620000005,,,,Science
Distill,,[],https://distill.pub/about/,"['severe', 'readability', 'suffers', 'readers', 'rush', 'struggle', 'research', 'writing', 'distill', 'think', 'understand']","Clear writing benefits everyoneWhen we rush papers out the door to meet conference deadlines, something suffers — often it is the readability and clarity of our communication.
This can add severe drag to the entire community as our readers struggle to understand our ideas.
We think this ”research debt″ can be avoided.",52,/Science/Computer Science,0.649999976,,,,Science
The Beginner's Guide to Dimensionality Reduction,,[],https://idyll.pub/post/dimensionality-reduction-293e465c2a3443e8941b016d/,"['guide', 'x', 'data', 'beginners', 'n', 'm', 'dimensionality', 'features', 'artworks', 'embedding', 'reduction', 'artwork', 'd']","Consider a dataset represented as a matrix X X X , where X X X is of size m × n m \times n m×n , where m m m represents the number of rows of X X X , and n n n representes the number of columns.
Dimensionality reduction will reduce the number of features of each data point, turning X X X into a new matrix, X ′ X' X′ , of size m × d m \times d m×d , where d < n d < n d<n .
For visualizations we typically set d d d to be 1, 2 or 3.
Performing dimensionality reduction on X X X and setting d = 2 d=2 d=2 will change it from a square matrix to a tall, rectangular matrix.
X = [ x x x x x x x x x ] ⟹ [ x ′ x ′ x ′ x ′ x ′ x ′ ] = X ′ X = \begin{bmatrix} x & x & x \\ x & x & x \\ x & x & x \end{bmatrix} \implies \begin{bmatrix} x' & x' \\ x' & x' \\ x' & x' \end{bmatrix} = X' X = ⎣ ⎡ ​ x x x ​ x x x ​ x x x ​ ⎦ ⎤ ​ ⟹ ⎣ ⎡ ​ x ′ x ′ x ′ ​ x ′ x ′ x ′ ​ ⎦ ⎤ ​ = X ′ Each data point only has two features now, i.e., each data point has been reduced from a 3 dimensional vector to a 2 dimensional vector.",1024,/Science/Computer Science,0.970000029,,,,Science
,,[],https://wiki.c2.com/?PeopleIndex,[],,0,,,,,,
