title,publish_date,authors,url,keywords,summary,word_count,category
,,[],https://frankchimero.com/writing/,[],,0,
7 Reasons to Use Parchment Paper,2017-08-17 10:00:00,"['Sommer Collier', 'Sommer Collier Of']",https://thepioneerwoman.com/food-and-friends/7-reasons-to-use-parchment-paper/,"['pans', 'pan', 'reasons', 'foil', 'wax', 'post', 'baking', 'parchment', 'sheets', 'edges', 'paper']","Can you substitute foil or wax paper for parchment paper?
I’m always surprised to hear that so many bakers haven’t discovered the shining attributes of parchment paper.
Using parchment paper creates a thin airy layer between the baking sheet and the paper that helps regulate the temperature, and neutralize hot spots.
Parchment paper gives cookie dough something to hold on to, for fuller cookies that do not to spread too much.
Can you substitute foil or wax paper for parchment paper?",683,
"Journalism, Media, and Technology Trends and Predictions 2020",2020-01-09 11:07:14+00:00,['About The Author'],http://www.digitalnewsreport.org/publications/2020/journalism-media-and-technology-trends-and-predictions-2020/,"['2020', 'diversity', 'technology', 'politicians', 'important', 'trends', 'publishers', 'help', 'content', 'audio', 'platforms', 'media', 'predictions', 'journalism']","Local news provision is a key concern, alongside fears about declining trust and attacks on journalism by politicians.
At the same time, social and political disruptions have affected trust in journalism and led to attacks on independent news media in many countries.
The main purpose is to provide useful insights for the year ahead and to identify the most important media trends.
This report is supplemented with the following essays:These same media executives, however, are less confident about journalism in general (46%) and public-interest journalism in particular.
Politicians are increasingly trying to bypass the media and convey messages directly via social media.",6321,
AI trends: what to expect in 2020,2020-02-06 00:00:00,[],https://tryolabs.com/blog/2020/02/06/ai-trends-what-to-expect-in-2020/?utm_campaign=Data_Elixir&utm_source=Data_Elixir_271,"['results', 'recognition', 'deep', 'learning', 'trends', 'expect', 'facial', 'example', 'models', 'data', 'ai', '2020']","According to Forbes, 75 countries are currently using AI technology for surveillance purposes via smart city platforms, facial recognition systems, and smart policing.
Let’s briefly review the best in AI of 2019, as well as some of the most important trends for 2020.
2019 AI outcomesLast year was fruitful for AI and deep learning, especially in the Natural Language Processing (NLP) and Computer Vision (CV) fields.
Let’s look at the impact this will have on AI trends in 2020.
Their approach consists of a learning algorithm that automatically generates training data, learning environments, and curricula to help AI agents rapidly learn.",2409,
Learn to Let Go: How Success Killed Duke Nukem,,"['Clive Thompson', 'Clive Thompso']",https://www.wired.com/2009/12/fail-duke-nukem/,"['work', '3d', 'success', 'games', 'broussard', 'game', 'duke', 'forever', 'killed', 'miller', 'learn', 'nukem', 'let', 'realms']","It's the insignia of Duke Nukem 3D, a computer game that revolutionized shoot-'em-up virtual violence in 1996.
Featuring a swaggering, steroidal, wisecracking hero, Duke Nukem 3D became one of the top-selling videogames ever, making its creators very wealthy and leaving fans absolutely delirious for a sequel.
The team quickly began work on that sequel, Duke Nukem Forever, and it became one of the most hotly anticipated games of all time.
But the Duke Nukem Forever team worked for 12 years straight.
His name is George Broussard, co-owner of 3D Realms and the man who headed the Duke Nukem Forever project for its entire 12-year run.",728,
Hudson Valley's Best Restaurants and Hotels,2019-12-26 12:00:00,"['Jeff Gordinier', ""Jeff Gordinier Is Esquire'S Food"", 'Drinks Editor.']",https://www.esquire.com/food-drink/restaurants/a29001904/best-hudson-valley-upstate-new-york-restaurants-hotels/,"['hudson', 'schram', 'chef', 'york', 'valleys', 'restaurants', 'best', 'pelaccio', 'valley', 'love', 'menu', 'local', 'hotels', 'catskills']","Years ago, when he was a teenager in the Hudson Valley, Kristopher Schram put in time in the kitchen of a local pizzeria.
Now 36, Schram has boomeranged back to the Hudson Valley.
“This is not the Hudson Valley I remember.""
This is not the Hudson Valley I remember.""
This territory is expansive.”That expansiveness is one of the reasons you don’t hear too much grumbling about rampant hipsterization throughout the Hudson Valley and the Catskills.",2460,
Cold fusion remains elusive—but these scientists may revive the quest,2019-05-29 06:00:05-04:00,"['Photograph Marilyn Chung', 'Lawrence Berkeley National Laboratory']",https://www.nationalgeographic.com/science/2019/05/cold-fusion-remains-elusive-these-scientists-may-revive-quest/,"['quest', 'science', 'elusivebut', 'cold', 'remains', 'fusion', 'energy', 'revive', 'researchers', 'scientists', 'trevithick', 'team', 'work', 'experiment', 'research']","In a review paper published in Nature on Monday, U.S. and Canadian researchers funded by Google publicly unveiled their efforts to reassess cold fusion.
This would be a lot of people’s dream.”See the original 'cold fusion' press conference On March 23, 1989, University of Utah chemists Martin Fleischmann and Stanley Pons announced their ""cold fusion"" device to the world—sparking a scientific firestorm.
My impression is that most physicists and chemists did the same, regarding cold fusion as an 'interesting' episode.”Ever since, cold fusion largely served as a parable on the perils of irreproducibility.
Trevithick stresses that cold fusion represents just one sliver of Google's energy research, which includes working with the traditional fusion company TAE Technologies.
“I'm not addressing in particular whether [cold fusion] is one such candidate, but I generally am for trying out different things,” he says.",2024,
Spaces of Banana Control,,[],https://www.ediblegeography.com/spaces-of-banana-control/?mc_cid=280d7d018b&mc_eid=e7c75333ad,"['fruit', 'distributors', 'york', 'ripening', 'spaces', 'rooms', 'rosenblatt', 'room', 'control', 'banana', 'bananas', 'refrigerated']","A behind-the-scenes tour at the Banana Distributors of New York contains several examples of the banana supply chain’s evolving architecture of atmospheric control.
IMAGE: A clipboard hung on or near the door of each banana ripening room keeps track of the ambient temperature and ethylene gas injection.
“With bananas,” explains Rosenblatt, “it’s all about ventilation.”IMAGE: Paul Rosenblatt in front of the world’s first two-tier banana ripening rooms.
The next rooms that Rosenblatt showed us are, he mentions almost as an aside, the first two-tier banana ripening rooms ever built.
With minor improvements in fan engineering, and the optional addition of a third tier, brand-new banana ripening rooms still look identical to today.",1866,
"30 Python Best Practices, Tips, And Tricks",2020-05-03 07:17:29.856000+00:00,['Erik Van Baaren'],https://towardsdatascience.com/30-python-best-practices-tips-and-tricks-caefb9f8c5f5,"['tips', 'python', 'practices', 'sequence', 'replace', 'expression', 'basic', 'best', 'ugly', 'values', 'used', 'tricks', 'comprehension', '30', 'list', 'syntax']","List ComprehensionsA list comprehension can replace ugly for loops used to fill a list.
The basic syntax for a list comprehension is:[ expression for item in list if conditional ]A very basic example to fill a list with a sequence of numbers:And because you can use an expression, you can also do some math:Or even call an external function:And finally, you can use the ‘if’ to filter the list.
In this case, we only keep the values that are dividable by 2:",87,
Nike Kaepernick ads will be among the most memorable from the 2010s,2019-12-20 00:00:00,['Megan Graham'],https://www.cnbc.com/2019/12/20/kaepernick-like-a-girl-and-other-memorable-ads-from-the-2010s.html,"['small', 'business', 'barbie', 'marketing', 'campaign', 'brand', 'burger', 'nike', 'company', 'kaepernick', 'memorable', 'ads', 'consumers', '2010s', 'president']","If there's a thread connecting the most memorable campaigns of the last 10 years, it's that big risks can pay off.
'Small Business Saturday,' American ExpressPresident Barack Obama buys ice cream for his daughters Malia and Sasha at Pleasant Pops during Small Business Saturday on November 28, 2015, in Washington, DC.
Getty ImagesCredit card company American Express started the ""Small Business Saturday"" campaign in the dregs of a recession in November 2010.
American Express estimates Small Business Saturday spending has reached $103 billion since the day it began.
Goodson said Small Business Saturday ""took a stand for Main Street and small business, folks who never have any support and who find themselves in the direct line of fire from the Amazons of the world,"" he said.",1544,
